origin_region_id,origin_station_name,origin_station_line,threshold_min,station_name,station_norm,line_name,node_id,longitude,latitude,min_travel_time_min,population_750m,worker_750m,buffer_area_m2,covered_area_m2,coverage_ratio,intersected_grid_count
pangyo_core,판교,신분당선,25.0,매봉,매봉,서울3호선,509,127.04677618667323,37.48696948538969,20.233333333333334,35127.261,34413.137,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,광교중앙,광교중앙,신분당선,831,127.05164498562326,37.2884501592719,20.316666666666666,35046.62,17544.268,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,25.0,보정,보정,분당선,791,127.10834005272706,37.31279826193464,20.633333333333333,16297.529,4715.834,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,신논현,신논현,신분당선,819,127.0246034538366,37.50426117404449,20.8,36178.864,71303.131,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,모란,모란,분당선,800,127.12906689217004,37.432299307382586,21.633333333333333,32417.263,14242.031,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,이매,이매,분당선,798,127.12828907263011,37.39642775541209,21.633333333333333,19806.135,7125.71,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,25.0,논현,논현,신분당선,818,127.02148163870044,37.5107948116954,22.083333333333336,33328.249,56225.287,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,역삼,역삼,서울2호선,446,127.03636840669158,37.50063961417192,22.2,27154.79,133552.166,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,교대,교대,서울3호선,506,127.0138279671102,37.49296656096792,22.233333333333334,29668.178,81087.23,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,도곡,도곡,서울3호선,510,127.0555675006598,37.491048742482185,22.233333333333334,49299.742,18365.885,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,상현,상현,신분당선,830,127.06933533255231,37.29774945722412,22.549999999999997,22146.853,13206.431,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,구성,구성,분당선,790,127.10567039677503,37.29897873981181,22.966666666666665,12218.635,4328.251,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,죽전,죽전,분당선,792,127.10756652082293,37.32470333266271,23.133333333333333,23547.709,14719.223,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,신사,신사,신분당선,817,127.01938995736657,37.51660518723846,23.26666666666667,27433.875,53843.123,1764308.526,1764308.526,1.0,16
pangyo_core,판교,신분당선,25.0,반포,반포,서울7호선,693,127.01147731905735,37.50812717016541,23.583333333333336,43647.328,21653.175,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,태평,태평,분당선,801,127.12780338697468,37.4397579701397,23.633333333333333,46757.535,13915.26,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,25.0,대치,대치,서울3호선,511,127.06288260206013,37.49438321809049,23.733333333333334,47986.052,15840.689,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,광교,광교,신분당선,832,127.04436155242843,37.302062058277194,23.9,9730.364,8039.685,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,학동,학동,서울7호선,695,127.03181201807583,37.51434017199306,23.916666666666668,24295.892,71732.706,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,25.0,야탑,야탑,분당선,799,127.12868520179039,37.41180416352642,24.133333333333333,31432.35,37981.674,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,서초,서초,서울2호선,443,127.00770165990147,37.491811823574814,24.7,19683.354,66687.612,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,25.0,선릉,선릉,서울2호선,447,127.04884944742885,37.50447516204327,24.7,36808.683,109519.444,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,25.0,고속터미널,고속터미널,서울3호선,505,127.00493444785855,37.50486906037078,24.733333333333334,37309.235,29229.727,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,30.0,학여울,학여울,서울3호선,512,127.07121516297254,37.49685981421995,25.233333333333334,36304.994,10424.817,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,신갈,신갈,분당선,789,127.1113292802862,37.28614017206379,25.299999999999997,21566.207,6949.723,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,사평,사평,서울9호선,765,127.0151631744664,37.50422483239932,25.316666666666666,50693.653,29164.276,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,강남구청,강남구청,서울7호선,696,127.0410971937261,37.5171658604025,25.583333333333336,31389.909,62326.164,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,30.0,가천대,가천대,분당선,802,127.12669116703219,37.44886491716168,25.633333333333333,25886.924,7154.79,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,언주,언주,서울9호선,767,127.03388761609956,37.50732567260436,25.683333333333334,27740.129,86432.677,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,남부터미널,남부터미널,서울3호선,507,127.01630214150559,37.48500070905941,25.733333333333334,27297.754,71162.677,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,매봉,매봉,서울3호선,509,127.04677618667323,37.48696948538969,25.733333333333334,35127.261,34413.137,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,광교중앙,광교중앙,신분당선,831,127.05164498562326,37.2884501592719,25.816666666666663,35046.62,17544.268,1764308.526,1764308.526,1.0,13
pangyo_core,판교,경강선,30.0,보정,보정,분당선,791,127.10834005272706,37.31279826193464,26.133333333333333,16297.529,4715.834,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,삼성,삼성,서울2호선,448,127.06313210133392,37.508915301152705,26.7,12198.727,101035.198,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,30.0,잠원,잠원,서울3호선,504,127.0115777959725,37.51297848809268,26.733333333333334,37121.906,16168.051,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,모란,모란,분당선,800,127.12906689217004,37.432299307382586,27.133333333333333,32417.263,14242.031,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,방배,방배,서울2호선,442,126.99759853941437,37.48147207698431,27.2,28465.034,28707.905,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,30.0,대청,대청,서울3호선,513,127.07965438746068,37.49351094157151,27.233333333333334,32885.562,17139.207,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,선정릉,선정릉,서울9호선급행,880,127.0440542026834,37.51050736146603,27.233333333333334,33019.014,69920.966,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,30.0,압구정,압구정,서울3호선,502,127.02849480804664,37.52683240163011,27.26666666666667,20458.763,39796.135,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,청담,청담,서울7호선,697,127.05357716068204,37.519428891240395,27.583333333333336,27495.012,36721.607,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,역삼,역삼,서울2호선,446,127.03636840669158,37.50063961417192,27.7,27154.79,133552.166,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,교대,교대,서울3호선,506,127.0138279671102,37.49296656096792,27.733333333333334,29668.178,81087.23,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,도곡,도곡,서울3호선,510,127.0555675006598,37.491048742482185,27.733333333333334,49299.742,18365.885,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,기흥,기흥,분당선,788,127.11596117176872,37.27548895165585,27.799999999999997,31946.28,13429.249,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,구성,구성,분당선,790,127.10567039677503,37.29897873981181,28.466666666666665,12218.635,4328.251,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,복정,복정,분당선,803,127.12655548436801,37.47088919380632,28.633333333333333,7235.276,6904.424,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,종합운동장,종합운동장,서울2호선,449,127.0738741898419,37.51114024667451,28.7,19770.488,25495.918,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,30.0,내방,내방,서울7호선,691,126.99366333702754,37.48767847349902,28.750000000000004,35216.685,35213.107,1764308.526,1764308.526,1.0,11
pangyo_core,판교,신분당선,30.0,구룡,구룡,분당선,807,127.05959630216212,37.48702793012337,29.066666666666666,34546.434,10848.076,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,반포,반포,서울7호선,693,127.01147731905735,37.50812717016541,29.083333333333336,43647.328,21653.175,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,수진,수진,서울8호선,719,127.14085740225366,37.43749374732599,29.133333333333333,55538.258,15093.828,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,태평,태평,분당선,801,127.12780338697468,37.4397579701397,29.133333333333333,46757.535,13915.26,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,30.0,대치,대치,서울3호선,511,127.06288260206013,37.49438321809049,29.233333333333334,47986.052,15840.689,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,일원,일원,서울3호선,514,127.08425610480239,37.483892375613635,29.233333333333334,24252.797,10841.958,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,30.0,한티,한티,분당선,809,127.05289869433383,37.496292233946704,29.233333333333334,59324.51,27029.546,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,30.0,광교,광교,신분당선,832,127.04436155242843,37.302062058277194,29.399999999999995,9730.364,8039.685,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,신반포,신반포,서울9호선,763,126.99611730898998,37.50349234382109,29.416666666666664,28638.241,12724.582,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,30.0,학동,학동,서울7호선,695,127.03181201807583,37.51434017199306,29.416666666666668,24295.892,71732.706,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,삼성중앙,삼성중앙,서울9호선,769,127.05332657895441,37.51303446510631,29.583333333333332,27092.34,74644.02,1764308.526,1764308.526,1.0,15
pangyo_core,판교,신분당선,30.0,동작,동작,서울9호선급행,877,126.97859082781919,37.502936332057935,29.716666666666665,4426.712,1906.988,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,30.0,옥수,옥수,서울3호선,501,127.01734970783959,37.541646501646156,29.76666666666667,30137.071,6381.858,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,35.0,봉은사,봉은사,서울9호선급행,881,127.0601734237017,37.514427257649025,30.1,13250.793,70639.7,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,상갈,상갈,분당선,787,127.1087702594018,37.26180717695745,30.13333333333333,12697.519,3654.074,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,사당,사당,서울2호선,441,126.98145992891385,37.47655688046076,30.2,38730.11,28150.083,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,35.0,서초,서초,서울2호선,443,127.00770165990147,37.491811823574814,30.2,19683.354,66687.612,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,35.0,선릉,선릉,서울2호선,447,127.04884944742885,37.50447516204327,30.2,36808.683,109519.444,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,35.0,고속터미널,고속터미널,서울3호선,505,127.00493444785855,37.50486906037078,30.233333333333334,37309.235,29229.727,1764308.526,1764308.526,1.0,13
pangyo_core,판교,신분당선,35.0,뚝섬유원지,뚝섬유원지,서울7호선,698,127.06669338787944,37.53153233958963,30.583333333333336,31870.005,6898.905,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,신흥,신흥,서울8호선,720,127.14760299428023,37.440910752121255,30.633333333333333,43074.57,13444.212,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,잠실새내,잠실새내,서울2호선,450,127.08578361601805,37.51162337532623,30.7,61197.129,21157.759,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,35.0,학여울,학여울,서울3호선,512,127.07121516297254,37.49685981421995,30.733333333333334,36304.994,10424.817,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,35.0,신갈,신갈,분당선,789,127.1113292802862,37.28614017206379,30.799999999999997,21566.207,6949.723,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,35.0,사평,사평,서울9호선,765,127.0151631744664,37.50422483239932,30.816666666666666,50693.653,29164.276,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,개포동,개포동,분당선,806,127.06603356695186,37.48909188383677,30.9,39425.543,7480.306,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,이수,이수,서울7호선,690,126.98159125571313,37.48525347981365,30.91666666666667,47271.019,28271.592,1764308.526,1764308.526,1.0,14
pangyo_core,판교,경강선,35.0,강남구청,강남구청,서울7호선,696,127.0410971937261,37.5171658604025,31.083333333333336,31389.909,62326.164,1764308.526,1764308.526,1.0,15
pangyo_core,판교,경강선,35.0,가천대,가천대,분당선,802,127.12669116703219,37.44886491716168,31.133333333333333,25886.924,7154.79,1764308.526,1764308.526,1.0,14
pangyo_core,판교,신분당선,35.0,구반포,구반포,서울9호선,762,126.98746198997472,37.50147537502471,31.15,15016.412,6710.307,1764308.526,1764308.526,1.0,13
